Crop,Soil Type,Nitrogen (N),Phosphorus (P),Potassium (K),Crop Growth Stage,Rainfall (mm),Temperature (°C),Irrigation Availability,Past Yield (tons/ha),Pest/Disease,Region,Fertilizer Recommendation
barley,loamy,0.6625,0.433333333,0.25,Maturity,0.6,0.555555556,No,0.084406295,Yes,Madhya Pradesh,Compost
wheat,red,0.5875,0.266666667,0.116666667,Maturity,0.959259259,0.722222222,Yes,0.964234621,Yes,Maharashtra,MOP
tobacco,red,0.3875,0.55,0.433333333,Flowering,0.781481481,0.333333333,Yes,0.826895565,Yes,Maharashtra,Ammonium Sulphate
millets,red,0.5375,0.45,0.483333333,Vegetative,0.244444444,0.666666667,Yes,0.280400572,Yes,Karnataka,NPK 20-20-20
paddy,loamy,0.3875,0.433333333,0.666666667,Flowering,0.52962963,0.111111111,Yes,0.024320458,Yes,Andhra Pradesh,FYM
maize,sandy,0.8625,0.966666667,0.333333333,Harvest,0.848148148,0.722222222,Yes,0.038626609,No,Uttar Pradesh,Zinc Sulphate
sugarcane,loamy,0.9,0.616666667,0.65,Sowing,0.42962963,0.833333333,Yes,0.376251788,No,Madhya Pradesh,Compost
wheat,sandy,0.1875,0.65,0.616666667,Harvest,0.555555556,0.5,Yes,0.652360515,No,Karnataka,FYM
sugarcane,loamy,0.5,0.7,0.7,Flowering,0.574074074,0.722222222,Yes,0.994277539,Yes,Maharashtra,Ammonium Sulphate
cotton,loamy,0.7,0.35,0.866666667,Flowering,0.181481481,0.388888889,Yes,0.379113019,No,Maharashtra,MOP
paddy,clayey,0.6,0.55,0.066666667,Maturity,0.281481481,0.722222222,No,0.902718169,No,Maharashtra,MOP
ground nuts,black,0.425,0.466666667,0.383333333,Maturity,0.677777778,0.333333333,No,0.625178827,Yes,West Bengal,Zinc Sulphate
ground nuts,sandy,0.1125,0.383333333,0.433333333,Maturity,0.262962963,0.611111111,No,0.175965665,No,Maharashtra,Urea
tobacco,red,0.7,0.483333333,0.666666667,Sowing,0.640740741,0.888888889,Yes,0.633762518,Yes,Gujarat,Urea
cotton,clayey,0.9125,0.8,0.65,Maturity,0.792592593,0.277777778,No,0.353361946,Yes,Rajasthan,Urea
maize,loamy,0.55,0.616666667,0.766666667,Maturity,0.17037037,0.777777778,Yes,0.204577969,No,Maharashtra,Urea
cotton,sandy,0.8625,0.916666667,0.4,Maturity,0.22962963,0.722222222,No,0.020028612,Yes,West Bengal,NPK 20-20-20
wheat,red,0.6375,0.316666667,0.216666667,Sowing,0.292592593,0.333333333,No,0.224606581,No,Andhra Pradesh,Compost
ground nuts,loamy,0.4625,0.45,0.316666667,Maturity,0.137037037,1,No,0.135908441,No,Rajasthan,MOP
cotton,clayey,0.85,0.883333333,0.866666667,Maturity,0.385185185,0.444444444,No,0.743919886,Yes,Uttar Pradesh,DAP
tobacco,clayey,0.9875,0.666666667,0.783333333,Vegetative,0.925925926,0.5,Yes,0.937052933,No,West Bengal,DAP
millets,black,0.5125,0.283333333,0.183333333,Flowering,0.67037037,0.888888889,No,0.194563662,No,Tamil Nadu,Zinc Sulphate
wheat,clayey,0.525,0.283333333,0.6,Harvest,0.577777778,0.944444444,No,0.708154506,No,Madhya Pradesh,Urea
paddy,sandy,0.5875,0.483333333,0.383333333,Harvest,0.948148148,0.166666667,Yes,0.988555079,No,Tamil Nadu,Urea
barley,loamy,0.7,0.366666667,0.1,Flowering,0.562962963,1,Yes,0.43490701,No,Maharashtra,MOP
oil seeds,black,0.2125,0.2,0.1,Flowering,0.340740741,0.111111111,No,0.124463519,Yes,Karnataka,MOP
oil seeds,sandy,0.275,0.1,0.4,Maturity,0.481481481,0.388888889,No,0.563662375,No,Maharashtra,DAP
millets,clayey,0.65,0.233333333,0.316666667,Vegetative,0.933333333,0.5,No,0.608011445,No,Madhya Pradesh,Urea
tobacco,black,0.4125,0.666666667,0.25,Harvest,0.862962963,0.833333333,Yes,0.364806867,No,Gujarat,Compost
maize,loamy,0.375,0.35,0.616666667,Harvest,0.185185185,0.888888889,No,0.261802575,Yes,Tamil Nadu,FYM
oil seeds,sandy,0.3875,0.216666667,0.366666667,Harvest,0.985185185,0.5,No,0.493562232,No,Punjab,DAP
wheat,sandy,0.125,0.5,0.616666667,Harvest,0.914814815,0.777777778,No,0.741058655,No,Maharashtra,Ammonium Sulphate
barley,black,0.15,0.183333333,0.55,Flowering,0.87037037,0.888888889,No,0.806866953,Yes,Madhya Pradesh,NPK 20-20-20
millets,black,0.225,0.366666667,0.083333333,Sowing,0.588888889,0.111111111,No,0.789699571,Yes,Rajasthan,MOP
oil seeds,black,0.325,0.35,0.116666667,Flowering,0.181481481,0.722222222,No,0.072961373,No,Gujarat,MOP
cotton,clayey,0.5625,0.75,0.2,Harvest,0.085185185,0.5,No,0.111587983,Yes,Punjab,FYM
millets,loamy,0.35,0.616666667,0.6,Vegetative,0.825925926,0.888888889,Yes,0.642346209,Yes,Rajasthan,MOP
barley,sandy,0.4625,0.466666667,0.45,Maturity,0.603703704,0.166666667,No,0.237482117,No,Madhya Pradesh,NPK 20-20-20
sugarcane,clayey,0.7125,0.8,0.183333333,Vegetative,0.485185185,0.055555556,Yes,0.417739628,Yes,Karnataka,Urea
tobacco,sandy,0.375,0.616666667,0.4,Sowing,0.718518519,0.166666667,No,0.226037196,Yes,Andhra Pradesh,FYM
millets,red,0.3625,0.533333333,0.666666667,Maturity,0.803703704,0,No,0.722460658,Yes,Andhra Pradesh,MOP
tobacco,loamy,0.95,0.366666667,0.95,Flowering,0.955555556,1,No,0.563662375,No,Karnataka,Ammonium Sulphate
tobacco,black,0.45,0.666666667,0.533333333,Maturity,0.525925926,0.444444444,Yes,0.985693848,No,Madhya Pradesh,Ammonium Sulphate
barley,sandy,0.4,0.483333333,0.5,Harvest,1,0.888888889,Yes,0.755364807,Yes,Tamil Nadu,Urea
cotton,clayey,0.9,0.566666667,0.833333333,Maturity,0.274074074,0,No,0.042918455,No,Andhra Pradesh,Urea
tobacco,red,0.2875,0.433333333,0.883333333,Flowering,0.52962963,0.555555556,No,0.513590844,No,Andhra Pradesh,NPK 20-20-20
tobacco,loamy,0.6625,0.633333333,0.583333333,Vegetative,0.733333333,0.166666667,No,0.168812589,No,Punjab,Compost
cotton,clayey,0.5125,0.833333333,0.366666667,Flowering,0.962962963,0.333333333,Yes,0.494992847,Yes,West Bengal,Zinc Sulphate
wheat,sandy,0.225,0.4,0.216666667,Vegetative,0.655555556,0.833333333,Yes,0.515021459,No,Karnataka,NPK 20-20-20
barley,red,0.3,0.533333333,0.416666667,Vegetative,0.462962963,0.333333333,No,0.658082976,Yes,Gujarat,FYM
tobacco,sandy,0.4625,1,0.45,Harvest,0.048148148,0.444444444,No,0.067238913,No,Punjab,Compost
paddy,clayey,0.6875,0.2,0.633333333,Flowering,0.688888889,0.222222222,No,0.792560801,Yes,Madhya Pradesh,Compost
ground nuts,sandy,0.05,0.466666667,0.066666667,Harvest,0.125925926,0.555555556,Yes,0.871244635,Yes,Karnataka,Urea
tobacco,black,0.85,0.333333333,0.666666667,Harvest,0.596296296,0.444444444,No,0.386266094,No,Tamil Nadu,FYM
sugarcane,red,0.3875,0.5,0.166666667,Flowering,0.996296296,0.444444444,No,0.371959943,No,Uttar Pradesh,NPK 20-20-20
barley,black,0.45,0.333333333,0.45,Sowing,0.011111111,0.944444444,No,0.074391989,No,Uttar Pradesh,Urea
wheat,black,0.6625,0.6,0.6,Sowing,0.933333333,0.944444444,Yes,0.743919886,Yes,Gujarat,Compost
cotton,black,0.45,0.7,0.316666667,Vegetative,0.518518519,0,Yes,0.560801144,Yes,Andhra Pradesh,Ammonium Sulphate
cotton,sandy,0.775,0.833333333,0.4,Vegetative,0.725925926,0.555555556,No,0.389127325,Yes,Madhya Pradesh,DAP
barley,red,0.625,0.2,0.083333333,Flowering,0.948148148,0.666666667,Yes,0.050071531,No,Madhya Pradesh,MOP
millets,loamy,0.3875,0.5,0.166666667,Sowing,0.82962963,0.777777778,No,0.590844063,No,Karnataka,DAP
barley,sandy,0.2625,0.5,0,Vegetative,0.837037037,0.944444444,Yes,0.635193133,Yes,Gujarat,MOP
maize,clayey,0.7,0.816666667,0.35,Harvest,0.851851852,0.055555556,Yes,0.652360515,No,Tamil Nadu,Compost
cotton,loamy,0.7,0.933333333,0.916666667,Vegetative,0.77037037,0.277777778,Yes,0.856938484,No,Punjab,DAP
tobacco,sandy,0.6875,0.933333333,0.95,Sowing,0.462962963,0.833333333,No,0.676680973,Yes,Tamil Nadu,Compost
oil seeds,loamy,0.0125,0.116666667,0.15,Vegetative,0.403703704,0.722222222,Yes,0.924177396,No,Punjab,Urea
millets,black,0.375,0.583333333,0.083333333,Vegetative,0.481481481,0.666666667,Yes,0.497854077,Yes,Maharashtra,MOP
paddy,red,0.5125,0.6,0.233333333,Vegetative,0.966666667,0.388888889,No,0.908440629,No,Rajasthan,DAP
maize,loamy,0.575,0.85,0.983333333,Maturity,0.322222222,0,No,0.320457797,No,Madhya Pradesh,MOP
wheat,red,0.6,0.216666667,0.366666667,Harvest,0.166666667,0.333333333,Yes,0.197424893,Yes,Karnataka,FYM
oil seeds,red,0.1375,0,0.116666667,Harvest,0.062962963,0.444444444,Yes,0.802575107,No,Maharashtra,DAP
wheat,loamy,0.225,0.466666667,0.45,Maturity,0.096296296,0.222222222,No,0.768240343,No,Madhya Pradesh,Zinc Sulphate
cotton,clayey,0.95,0.383333333,0.95,Vegetative,0.588888889,0.222222222,Yes,0.416309013,Yes,Rajasthan,Compost
cotton,loamy,0.3125,0.983333333,0.433333333,Sowing,0.87037037,0.055555556,No,0.341917024,No,Rajasthan,Zinc Sulphate
maize,red,0.2875,0.983333333,0.516666667,Maturity,0.144444444,0.055555556,Yes,0.929899857,No,Gujarat,Zinc Sulphate
oil seeds,black,0.275,0.183333333,0.216666667,Maturity,0.818518519,0.111111111,Yes,0.175965665,No,Punjab,FYM
maize,sandy,0.8375,0.6,0.95,Vegetative,0.844444444,0.333333333,Yes,0.974248927,Yes,Punjab,NPK 20-20-20
pulses,black,0.3125,0.366666667,0.2,Harvest,0.874074074,0.833333333,Yes,0.635193133,Yes,Punjab,FYM
cotton,loamy,0.5875,0.85,0.9,Harvest,0.466666667,0.944444444,Yes,0.995708155,Yes,Rajasthan,DAP
oil seeds,loamy,0.4125,0.2,0.3,Vegetative,0.207407407,1,No,0.811158798,No,Rajasthan,Ammonium Sulphate
cotton,red,0.2875,0.35,1,Harvest,0.485185185,0.888888889,Yes,0.570815451,Yes,Uttar Pradesh,MOP
ground nuts,sandy,0.2875,0.416666667,0.383333333,Harvest,0.811111111,0.777777778,Yes,0.051502146,No,West Bengal,FYM
cotton,red,0.5625,0.616666667,0.983333333,Vegetative,0.062962963,1,No,0.505007153,No,Andhra Pradesh,MOP
millets,loamy,0.15,0.516666667,0.283333333,Vegetative,0.874074074,0.777777778,Yes,0.725321888,Yes,Gujarat,Urea
maize,sandy,0.8875,0.466666667,0.95,Vegetative,0.196296296,0.5,No,0.329041488,Yes,Karnataka,Urea
millets,black,0.375,0.4,0.366666667,Harvest,0.037037037,0.555555556,Yes,0.809728183,Yes,Tamil Nadu,FYM
tobacco,loamy,0.975,0.4,0.25,Maturity,0.648148148,0.388888889,Yes,0.815450644,Yes,Andhra Pradesh,Ammonium Sulphate
cotton,clayey,0.7,0.55,1,Vegetative,0.877777778,0.833333333,Yes,0.490701001,Yes,Punjab,Compost
wheat,loamy,0.35,0.2,0.333333333,Harvest,0.307407407,0.277777778,No,0.373390558,No,Madhya Pradesh,Urea
pulses,black,0.225,0.266666667,0,Harvest,0.507407407,0.388888889,Yes,0.198855508,Yes,Gujarat,MOP
barley,clayey,0.1375,0.25,0.366666667,Vegetative,0.796296296,0.944444444,Yes,0.868383405,No,Rajasthan,Ammonium Sulphate
ground nuts,black,0.4625,0.266666667,0.4,Sowing,0.125925926,0.444444444,No,0.706723891,No,Gujarat,Ammonium Sulphate
cotton,black,0.6625,0.516666667,0.25,Maturity,0.822222222,0.444444444,Yes,0.763948498,Yes,Tamil Nadu,Zinc Sulphate
cotton,loamy,0.5625,0.633333333,0.983333333,Vegetative,0.396296296,0,Yes,0.419170243,No,Punjab,Urea
tobacco,red,0.875,0.366666667,0.6,Harvest,0.655555556,0.222222222,Yes,0.60658083,Yes,Rajasthan,Urea
tobacco,black,0.3625,0.916666667,0.816666667,Sowing,0.707407407,0.777777778,Yes,0.535050072,No,Rajasthan,Urea
wheat,loamy,0.425,0.216666667,0.466666667,Vegetative,0.281481481,0.722222222,No,0.846924177,No,Maharashtra,Urea
tobacco,red,0.6625,0.583333333,0.516666667,Vegetative,0.288888889,0.944444444,No,0.995708155,Yes,Tamil Nadu,Compost
oil seeds,clayey,0.075,0.116666667,0.233333333,Harvest,0.125925926,0.611111111,No,0.768240343,No,Andhra Pradesh,Urea
wheat,clayey,0.3125,0.266666667,0.183333333,Flowering,0.051851852,0,No,0.796852647,Yes,West Bengal,NPK 20-20-20
wheat,red,0.175,0.416666667,0.033333333,Flowering,0.87037037,0.5,No,0.067238913,No,Punjab,MOP
barley,clayey,0.45,0.283333333,0.216666667,Vegetative,0.348148148,0.722222222,Yes,0.623748212,Yes,Uttar Pradesh,NPK 20-20-20
wheat,clayey,0.175,0.183333333,0.633333333,Sowing,0.837037037,0.666666667,No,0.52360515,Yes,Gujarat,DAP
paddy,clayey,0.5125,0.266666667,0.05,Harvest,0.955555556,0.388888889,No,0.713876967,Yes,West Bengal,MOP
pulses,black,0.075,0.066666667,0.466666667,Flowering,0.555555556,0.222222222,No,0.267525036,No,Gujarat,Urea
barley,black,0.65,0.533333333,0.2,Maturity,0.17037037,0.888888889,Yes,0.885550787,Yes,West Bengal,DAP
cotton,red,0.9875,0.35,0.75,Harvest,0.825925926,0.277777778,No,0.908440629,No,Punjab,Ammonium Sulphate
pulses,sandy,0.1125,0.5,0.216666667,Harvest,0.67037037,0.666666667,No,0.811158798,No,Karnataka,Urea
sugarcane,red,0.7875,0.566666667,0.3,Harvest,0.874074074,1,No,0.975679542,No,Andhra Pradesh,Compost
paddy,loamy,0.1875,0.433333333,0.216666667,Maturity,0.307407407,0.444444444,Yes,0.989985694,Yes,Karnataka,Ammonium Sulphate
millets,loamy,0.2375,0.55,0.116666667,Maturity,0.107407407,0.5,No,0.778254649,No,West Bengal,MOP
paddy,loamy,0.15,0.6,0.116666667,Sowing,0.162962963,0.5,Yes,0.755364807,No,Karnataka,MOP
pulses,black,0.375,0.2,0.416666667,Vegetative,0.874074074,0.055555556,No,0.749642346,Yes,Uttar Pradesh,NPK 20-20-20
sugarcane,loamy,0.4875,0.883333333,0.466666667,Maturity,0.611111111,0.222222222,No,0.86695279,Yes,Madhya Pradesh,FYM
ground nuts,clayey,0.3625,0.166666667,0.016666667,Vegetative,0.059259259,0.166666667,Yes,0.273247496,No,Tamil Nadu,MOP
barley,clayey,0.3625,0.233333333,0.183333333,Harvest,0.118518519,0.611111111,Yes,0.779685265,Yes,Maharashtra,Ammonium Sulphate
millets,black,0.2,0.483333333,0.4,Harvest,0.003703704,0.777777778,Yes,0.291845494,Yes,Rajasthan,Zinc Sulphate
cotton,sandy,0.65,0.616666667,0.25,Harvest,0.781481481,0.166666667,Yes,0.595135908,Yes,Tamil Nadu,FYM
sugarcane,black,0.4875,0.433333333,0.216666667,Flowering,0.240740741,0.388888889,Yes,0.978540773,Yes,Punjab,DAP
barley,loamy,0.4875,0.283333333,0,Maturity,0.918518519,0.777777778,No,0.899856938,No,Andhra Pradesh,MOP
barley,red,0.675,0.666666667,0.616666667,Maturity,0.359259259,0.833333333,No,0.217453505,No,Tamil Nadu,DAP
millets,red,0.5375,0.183333333,0.183333333,Sowing,0.185185185,0.444444444,Yes,0.048640916,No,Maharashtra,Ammonium Sulphate
cotton,clayey,0.45,0.966666667,0.75,Sowing,0.355555556,0.722222222,No,0.814020029,Yes,Karnataka,Urea
cotton,sandy,0.4125,0.583333333,1,Sowing,0.42962963,0.722222222,No,0.577968526,Yes,Tamil Nadu,DAP
pulses,red,0.4625,0.3,0.45,Maturity,0.033333333,0.777777778,Yes,0.460658083,No,Gujarat,Urea
barley,loamy,0.5875,0.55,0.016666667,Vegetative,0.025925926,0.444444444,No,0.258941345,Yes,Punjab,MOP
paddy,sandy,0.1625,0.55,0.466666667,Flowering,0.162962963,0.944444444,Yes,0.673819742,Yes,Gujarat,Compost
tobacco,sandy,0.75,0.833333333,0.75,Flowering,0.185185185,0.611111111,Yes,0.474964235,No,Andhra Pradesh,Urea
maize,black,0.95,0.516666667,0.85,Maturity,0.996296296,0.166666667,Yes,0.682403433,Yes,Gujarat,DAP
ground nuts,clayey,0.4875,0.233333333,0.05,Flowering,0.362962963,0.166666667,No,0.515021459,No,West Bengal,MOP
tobacco,black,0.3875,0.7,0.833333333,Flowering,0.707407407,0.666666667,Yes,0.515021459,Yes,Andhra Pradesh,DAP
pulses,sandy,0.2125,0.35,0.216666667,Sowing,0.559259259,0,Yes,0.616595136,Yes,Rajasthan,FYM
ground nuts,red,0.35,0.433333333,0.316666667,Sowing,0.118518519,0.777777778,Yes,0.711015737,No,Rajasthan,DAP
tobacco,clayey,0.5125,0.683333333,0.183333333,Maturity,0.225925926,0.5,No,0.838340486,No,West Bengal,DAP
sugarcane,sandy,0.7625,0.9,1,Flowering,0.82962963,0.666666667,Yes,0.022889843,Yes,West Bengal,DAP
wheat,red,0.7125,0.183333333,0.333333333,Vegetative,0.351851852,0.777777778,Yes,0.91702432,No,Tamil Nadu,NPK 20-20-20
ground nuts,clayey,0.25,0.266666667,0.433333333,Vegetative,0.762962963,0.444444444,No,0.125894134,No,Uttar Pradesh,Zinc Sulphate
cotton,black,0.725,0.383333333,0.233333333,Flowering,0.851851852,0.666666667,No,0.311874106,Yes,Tamil Nadu,MOP
maize,loamy,0.6125,0.733333333,0.6,Harvest,0.574074074,0.833333333,No,0.705293276,No,Maharashtra,Zinc Sulphate
sugarcane,red,0.675,0.883333333,0.633333333,Sowing,0.825925926,0.666666667,Yes,0.444921316,No,Tamil Nadu,DAP
oil seeds,sandy,0.2125,0,0.383333333,Sowing,0.72962963,0.333333333,No,0.758226037,No,Maharashtra,DAP
pulses,black,0.275,0.083333333,0.383333333,Maturity,0.162962963,0.111111111,Yes,0.670958512,No,Uttar Pradesh,DAP
wheat,sandy,0.625,0.5,0.233333333,Sowing,0.974074074,0.388888889,No,0.705293276,Yes,Rajasthan,MOP
wheat,clayey,0.425,0.25,0.516666667,Vegetative,0.537037037,0.333333333,No,0.6981402,No,Andhra Pradesh,Compost
cotton,sandy,0.85,0.583333333,0.4,Maturity,0.988888889,0.833333333,Yes,0.284692418,No,West Bengal,Ammonium Sulphate
pulses,red,0.3625,0.15,0.05,Flowering,0.685185185,0.666666667,Yes,0.855507868,No,Tamil Nadu,DAP
cotton,sandy,0.725,0.466666667,0.366666667,Maturity,0.177777778,0.722222222,Yes,0.632331903,No,West Bengal,Urea
ground nuts,clayey,0.375,0.1,0.316666667,Harvest,0.507407407,0.888888889,No,0.077253219,No,Maharashtra,DAP
millets,clayey,0.7375,0.333333333,0.05,Vegetative,0.644444444,0.388888889,Yes,0.456366237,No,Andhra Pradesh,MOP
sugarcane,red,0.725,0.883333333,0.166666667,Sowing,0.374074074,0.722222222,Yes,0.583690987,No,Maharashtra,Urea
tobacco,loamy,1,1,0.316666667,Vegetative,0.414814815,0.222222222,No,0.012875536,No,Andhra Pradesh,DAP
oil seeds,sandy,0.3625,0.5,0.333333333,Maturity,0.648148148,0.5,No,0.494992847,Yes,Tamil Nadu,FYM
wheat,red,0.575,0.316666667,0.283333333,Sowing,0.559259259,0.944444444,Yes,0.593705293,Yes,Tamil Nadu,Zinc Sulphate
wheat,black,0.75,0.616666667,0.333333333,Flowering,0.381481481,0.222222222,No,0.65379113,No,Gujarat,Compost
millets,black,0.1375,0.45,0.566666667,Harvest,0.077777778,0.5,No,0.3018598,Yes,West Bengal,Zinc Sulphate
barley,clayey,0.4,0.216666667,0.033333333,Harvest,0.218518519,0.833333333,No,0.693848355,Yes,Rajasthan,MOP
cotton,sandy,0.775,0.566666667,0.6,Maturity,0.518518519,0.333333333,No,0.389127325,Yes,Rajasthan,Compost
oil seeds,clayey,0.4875,0.433333333,0.116666667,Flowering,0.003703704,0.444444444,Yes,0.898426323,No,Maharashtra,MOP
oil seeds,loamy,0.1625,0.266666667,0.183333333,Vegetative,0.696296296,0.166666667,No,0.809728183,Yes,Karnataka,Urea
oil seeds,black,0.475,0.4,0.083333333,Flowering,0.455555556,0.611111111,Yes,0.381974249,No,Tamil Nadu,MOP
oil seeds,black,0.0375,0.083333333,0.316666667,Flowering,0.877777778,1,Yes,0.572246066,No,Andhra Pradesh,Urea
sugarcane,sandy,0.925,0.466666667,0.9,Sowing,0.081481481,0.222222222,Yes,0.21316166,Yes,West Bengal,FYM
oil seeds,clayey,0.1375,0.233333333,0.15,Sowing,0.340740741,0.944444444,Yes,0.878397711,Yes,Maharashtra,MOP
maize,clayey,0.875,0.75,0.933333333,Sowing,0.014814815,0.222222222,No,0.759656652,Yes,Madhya Pradesh,NPK 20-20-20
sugarcane,loamy,0.7375,0.6,0.266666667,Harvest,0.018518519,0.777777778,No,0.731044349,Yes,Madhya Pradesh,DAP
wheat,black,0.5375,0.25,0.15,Maturity,0.27037037,0.277777778,Yes,0.353361946,Yes,Madhya Pradesh,MOP
wheat,black,0.625,0.616666667,0.25,Vegetative,0.322222222,0.555555556,No,0.642346209,Yes,Madhya Pradesh,Urea
ground nuts,clayey,0.1125,0.366666667,0.033333333,Flowering,0.092592593,0.111111111,Yes,0.711015737,No,Gujarat,Urea
tobacco,loamy,0.475,0.55,0.216666667,Flowering,0.37037037,0.888888889,Yes,0.220314735,No,Maharashtra,Ammonium Sulphate
ground nuts,loamy,0.175,0.333333333,0.2,Sowing,0.862962963,0,Yes,0.350500715,Yes,Karnataka,NPK 20-20-20
cotton,black,0.4875,0.9,0.5,Harvest,0.662962963,0.444444444,No,0.989985694,No,West Bengal,MOP
tobacco,sandy,0.6875,0.95,0.966666667,Maturity,0.733333333,0.5,No,0.054363376,No,Gujarat,DAP
ground nuts,loamy,0.3,0.45,0.3,Maturity,0.462962963,0.944444444,Yes,0.982832618,No,Uttar Pradesh,Zinc Sulphate
ground nuts,loamy,0.2375,0.25,0.2,Maturity,0.596296296,0.444444444,No,0.925608011,No,Punjab,Compost
oil seeds,red,0.2875,0.183333333,0.15,Maturity,0.981481481,0,Yes,0.848354793,No,Andhra Pradesh,MOP
ground nuts,loamy,0.1875,0,0.233333333,Harvest,0.444444444,0.777777778,No,0.793991416,Yes,Maharashtra,DAP
millets,red,0.4125,0.4,0.266666667,Vegetative,0.196296296,0.722222222,No,0.82260372,Yes,Rajasthan,Urea
millets,black,0.35,0.583333333,0.166666667,Harvest,0.133333333,0,Yes,0.95851216,Yes,Uttar Pradesh,NPK 20-20-20
tobacco,clayey,0.725,0.35,0.266666667,Harvest,0.637037037,1,No,0.380543634,No,Karnataka,MOP
oil seeds,black,0.3875,0.366666667,0.1,Vegetative,0.492592593,0.111111111,No,0.00286123,Yes,Madhya Pradesh,MOP
wheat,black,0.75,0.316666667,0.15,Maturity,0.896296296,0.5,Yes,0.729613734,Yes,Uttar Pradesh,MOP
paddy,red,0.2875,0.216666667,0.333333333,Flowering,0.27037037,0.666666667,Yes,0.017167382,No,Gujarat,Zinc Sulphate
barley,red,0.55,0.166666667,0.133333333,Sowing,0.2,0.777777778,No,0.859799714,No,Rajasthan,MOP
millets,sandy,0.375,0.25,0.483333333,Sowing,0.662962963,0.888888889,Yes,0.529327611,No,Karnataka,Zinc Sulphate
ground nuts,red,0.2,0.416666667,0.25,Flowering,0.892592593,0.333333333,No,0.120171674,No,West Bengal,Urea
paddy,black,0.3125,0.2,0.25,Maturity,0.837037037,0.5,Yes,0.766809728,No,Rajasthan,MOP
sugarcane,black,0.6,0.85,0.933333333,Flowering,0.662962963,0.388888889,No,0.389127325,Yes,Madhya Pradesh,FYM
wheat,clayey,0.225,0.35,0.15,Maturity,0.948148148,0.111111111,Yes,0.314735336,Yes,Andhra Pradesh,MOP
barley,black,0.2,0.283333333,0.05,Maturity,0.637037037,0.833333333,Yes,0.204577969,No,Uttar Pradesh,MOP
maize,red,0.925,0.35,0.433333333,Maturity,0.133333333,0.888888889,Yes,0.570815451,Yes,Andhra Pradesh,Ammonium Sulphate
barley,sandy,0.7,0.433333333,0.433333333,Sowing,0.888888889,0.611111111,Yes,0.168812589,Yes,West Bengal,DAP
millets,loamy,0.7375,0.566666667,0.116666667,Sowing,0.82962963,0.611111111,No,0.69241774,No,Andhra Pradesh,MOP
ground nuts,clayey,0.1125,0.316666667,0.266666667,Sowing,0.974074074,0.666666667,No,0.836909871,Yes,Madhya Pradesh,Urea
cotton,loamy,0.7875,0.916666667,0.75,Sowing,0.92962963,0.777777778,Yes,0.573676681,Yes,Karnataka,Compost
oil seeds,black,0.4875,0.15,0.416666667,Harvest,0.77037037,0.055555556,No,0.492131617,No,West Bengal,DAP
ground nuts,black,0.2875,0,0.266666667,Harvest,0.1,0.944444444,Yes,0.144492132,Yes,Gujarat,DAP
sugarcane,sandy,0.3125,0.633333333,0.55,Harvest,0.766666667,0.277777778,No,0.852646638,Yes,Tamil Nadu,Urea
millets,red,0.55,0.366666667,0.616666667,Vegetative,0.474074074,0.222222222,No,0.535050072,Yes,Gujarat,Zinc Sulphate
millets,black,0.15,0.6,0.616666667,Flowering,0.744444444,0.833333333,Yes,0.151645207,Yes,Madhya Pradesh,Urea
cotton,clayey,0.55,0.616666667,0.85,Maturity,0.814814815,0.388888889,No,0.553648069,Yes,Andhra Pradesh,DAP
paddy,clayey,0.2,0.316666667,0.183333333,Vegetative,0.6,0.777777778,Yes,0.444921316,Yes,Uttar Pradesh,Compost
oil seeds,red,0.3,0.2,0.233333333,Maturity,0.344444444,0.055555556,No,0.449213162,Yes,Gujarat,Zinc Sulphate
ground nuts,loamy,0.1,0.233333333,0.25,Maturity,0.540740741,0.444444444,No,0.055793991,No,Karnataka,Urea
wheat,sandy,0.375,0.366666667,0.333333333,Harvest,0.462962963,0.777777778,No,0.296137339,No,Gujarat,Urea
ground nuts,black,0.25,0.016666667,0.166666667,Flowering,0.277777778,0.666666667,Yes,0.21602289,No,Karnataka,DAP
ground nuts,red,0,0.016666667,0.25,Flowering,0.840740741,0.555555556,No,0.73962804,Yes,Punjab,Urea
oil seeds,red,0.225,0.25,0.316666667,Harvest,0.088888889,0,No,0.596566524,No,Karnataka,Compost
pulses,black,0.075,0.366666667,0.35,Flowering,0.362962963,0.722222222,No,0.928469242,Yes,Punjab,Urea
pulses,red,0.25,0.383333333,0.433333333,Flowering,0.218518519,0.777777778,Yes,0.723891273,Yes,Gujarat,Zinc Sulphate
wheat,sandy,0.625,0.316666667,0.6,Flowering,0.188888889,0.944444444,No,0.675250358,No,Karnataka,DAP
maize,red,0.7375,0.45,0.75,Flowering,0.544444444,0,No,0.320457797,Yes,Punjab,FYM
tobacco,red,0.625,1,0.183333333,Flowering,0.007407407,0.722222222,No,0.525035765,No,Tamil Nadu,MOP
oil seeds,red,0.1625,0.016666667,0.45,Sowing,0.703703704,0.277777778,Yes,0.804005722,Yes,Uttar Pradesh,DAP
maize,black,0.4375,0.65,0.85,Maturity,0.848148148,0.5,No,0.178826896,No,Madhya Pradesh,Compost
ground nuts,sandy,0.1,0.466666667,0.033333333,Flowering,0.644444444,0,No,0.17167382,Yes,Punjab,Urea
paddy,black,0.25,0.666666667,0.2,Sowing,0.151851852,0,No,0.537911302,Yes,Karnataka,FYM
ground nuts,clayey,0.2125,0.416666667,0,Harvest,0.496296296,0.5,Yes,0.08583691,Yes,Uttar Pradesh,MOP
